record_id,posting_date,entity,account,cost_center,scenario,currency,amount,updated_at
R001,2026-01-31,E01,A4000,CC100,ACT,EUR,125000.00,2026-02-01 08:00:00
R002,2026-01-31,E01,A5100,CC200,ACT,EUR,-42000.00,2026-02-01 08:05:00
R003,2026-01-31,E02,A4000,CC100,ACT,USD,98000.00,2026-02-01 08:10:00
R004,2026-01-31,E01,A4000,CC100,BUD,EUR,120000.00,2026-02-01 08:15:00
R005,2026-01-31,E01,A5100,CC200,BUD,EUR,-40000.00,2026-02-01 08:20:00
R006,2026-02-28,E01,A4000,CC100,FCST,EUR,132000.00,2026-03-01 08:00:00
R006,2026-02-28,E01,A4000,CC100,FCST,EUR,135000.00,2026-03-01 09:00:00
R007,2026-02-28,E02,A5100,CC300,FCST,USD,-31500.00,2026-03-01 08:10:00
R008,2026-02-28,E02,,CC300,ACT,USD,-2000.00,2026-03-01 08:15:00
R009,not-a-date,E01,A5200,CC200,ACT,EUR,-1500.00,2026-03-01 08:20:00
R010,2026-02-28,E01,A5200,CC200,PLAN,EUR,-1800.00,2026-03-01 08:25:00
